[10-Dec-2019 12:19:25 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[10-Dec-2019 12:20:54 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[10-Dec-2019 12:21:15 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[10-Dec-2019 12:26:54 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[10-Dec-2019 12:27:09 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[10-Dec-2019 12:29:11 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[10-Dec-2019 12:32:50 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[10-Dec-2019 12:33:27 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[10-Dec-2019 12:33:54 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[10-Dec-2019 12:34:05 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[10-Dec-2019 12:45:55 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[10-Dec-2019 13:26:23 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[12-Dec-2019 08:14:00 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[12-Dec-2019 13:54:58 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[12-Dec-2019 13:55:11 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[13-Dec-2019 09:32:00 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[13-Dec-2019 09:35:57 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[16-Dec-2019 08:42:49 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[16-Dec-2019 11:15:21 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[16-Dec-2019 11:44:40 America/Mexico_City] PHP Notice:  Undefined index: q in /home/prddigepo/hojas_municipales/consultas/conMuni.php on line 18
[28-Sep-2020 12:47:32 America/Mexico_City] Undefined index: formulario
[28-Sep-2020 12:47:51 America/Mexico_City] Undefined index: formulario
[28-Sep-2020 12:58:05 America/Mexico_City] Undefined index: formulario
[28-Sep-2020 13:13:32 America/Mexico_City] Undefined index: formulario
[28-Sep-2020 20:36:13 America/Mexico_City] Undefined index: formulario
[30-Nov-2020 14:41:31 America/Mexico_City] SQLSTATE[HY000]: General error: 1 no such column: edad_madn
[23-Dec-2020 23:22:50 America/Mexico_City] SQLSTATE[HY000]: General error: 1 no such column: edad_madn
[10-Feb-2021 10:08:40 America/Mexico_City] PHP Notice:  Undefined variable: error in /home/prddigepo/hojas_municipales/db/conexionPDO.php on line 9
[10-Feb-2021 10:08:50 America/Mexico_City] PHP Notice:  Undefined variable: error in /home/prddigepo/hojas_municipales/db/conexionPDO.php on line 9
